IP Address;MAC Address;Vendor;OS Best Guess;OS Accuracy
192.168.10.1;N/A;Unknown;Linux 5.0 - 5.3;100%
192.168.10.10;N/A;Unknown;Microsoft Windows Server 2016;93%
192.168.10.11;N/A;Unknown;Microsoft Windows Server 2016;96%
192.168.10.21;N/A;Unknown;Linux 4.15 - 5.6;100%
192.168.10.22;N/A;Unknown;Linux 4.15 - 5.6;100%
